hub,n_vehicles,mean_travel_time_min,mean_driving_time_min,mean_distance_km,total_CO2_kg,mean_CO2_kg,mean_CO2_kg_per_km
Roswell2,7,17.21904761904762,7.219047619047619,3.7585114285714285,45.06423264,6.43774752,1.7132117490833143
Roswell3&4,8,16.972916666666666,6.972916666666666,3.65878,50.617658,6.32720725,1.736955453110713
SPAR,9,16.633333333333333,6.633333333333333,3.4369188888888886,53.066424409999996,5.8962693788888885,1.7132447203041528
TGW,8,18.48125,8.48125,4.23458,58.0861115,7.2607639375,1.7138178927526961
UCS,8,18.3,8.3,4.322355,60.26193101,7.53274137625,1.742397240592016
