id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized,emissions,CO_abs,CO2_abs,HC_abs,PMx_abs,NOx_abs,fuel_abs,electricity_abs,vehicle_group,distance_km,travel_time_min,CO2_g,CO2_kg,fuel_g,fuel_kg,CO2_kg_per_km,fuel_kg_per_km,service_time_s,driving_time_min,hub
T_UCS_03,2400.0,314035730_0,12.1,0.0,0.0,3636.0,878811131_0,176.35,13.44,1236.0,4483.77,136.0,5,600.0,255.26,0,tripinfo_T_UCS_03 emissions_T_UCS_03,truck_euro6,0.98,,,13245.16,8690960.57,0.0,1682.45,78548.13,2733891.93,0.0,logistics_truck,4.483770000000001,20.6,8690.960570000001,8.69096057,2733.8919300000002,2.73389193,1.9383154287574962,0.6097306351574678,600.0,10.6,UCS
T_TGW_03,2407.0,314035730_0,12.1,0.0,7.0,3638.0,878811131_0,176.35,14.08,1231.0,4407.31,128.0,6,600.0,253.03,0,tripinfo_T_TGW_03 emissions_T_TGW_03,truck_euro6,1.02,,,12872.82,8428379.85,0.0,1637.07,76299.47,2651292.44,0.0,logistics_truck,4.407310000000001,20.516666666666666,8428.37985,8.428379849999999,2651.29244,2.6512924399999998,1.9123637434171858,0.6015670420279035,600.0,10.516666666666667,TGW
T_ROS2_03,2700.0,314035730_0,12.1,0.0,0.0,3813.0,878811131_0,176.35,13.37,1113.0,3972.79,48.0,4,600.0,165.25,0,tripinfo_T_ROS2_03 emissions_T_ROS2_03,truck_euro6,0.96,,,10263.92,6788122.57,0.0,1295.68,60790.6,2135317.31,0.0,logistics_truck,3.97279,18.55,6788.12257,6.7881225700000005,2135.31731,2.13531731,1.708653759700362,0.5374855731110882,600.0,8.55,Roswell2
T_SPAR_04,2880.0,314035730_0,12.1,0.0,0.0,3996.0,878811131_0,176.35,13.76,1116.0,4099.13,50.0,5,600.0,197.2,0,tripinfo_T_SPAR_04 emissions_T_SPAR_04,truck_euro6,1.01,,,10760.05,7262975.97,0.0,1347.51,64414.9,2284700.35,0.0,logistics_truck,4.09913,18.6,7262.9759699999995,7.262975969999999,2284.70035,2.28470035,1.771833528090107,0.557362257357049,600.0,8.6,SPAR
T_ROS34_04,3200.0,314035730_0,12.1,0.0,0.0,4177.0,878811131_0,176.35,14.08,977.0,3657.44,5.0,1,600.0,73.84,0,tripinfo_T_ROS34_04 emissions_T_ROS34_04,truck_euro6,1.03,,,8143.56,5565372.32,0.0,1005.84,48367.22,1750676.59,0.0,logistics_truck,3.6574400000000002,16.283333333333335,5565.37232,5.565372320000001,1750.67659,1.75067659,1.5216578590489525,0.47866173881184654,600.0,6.283333333333333,Roswell3&4
T_UCS_04,3200.0,878811131_0,12.1,0.0,0.0,4307.0,314035730_0,367.96,18.67,1107.0,4112.04,56.0,3,600.0,158.46,0,tripinfo_T_UCS_04 emissions_T_UCS_04,truck_euro6,0.98,,,10609.31,7165633.0,0.0,1326.68,63404.71,2254076.66,0.0,logistics_truck,4.11204,18.45,7165.633,7.165633,2254.07666,2.25407666,1.7425980778397094,0.5481650616239141,600.0,8.45,UCS
T_TGW_04,3206.0,878811131_0,12.1,0.0,6.0,4369.0,314035730_0,367.96,17.05,1163.0,4025.57,53.0,3,600.0,164.96,0,tripinfo_T_TGW_04 emissions_T_TGW_04,truck_euro6,0.9,,,11009.64,7168414.43,0.0,1400.62,64876.51,2254941.37,0.0,logistics_truck,4.02557,19.383333333333333,7168.41443,7.1684144299999994,2254.94137,2.25494137,1.780720352645712,0.560154554510293,600.0,9.383333333333333,TGW
T_SPAR_05,3606.0,878811131_0,12.1,0.0,6.0,4646.0,314035730_0,367.96,17.54,1040.0,3179.49,57.0,9,600.0,156.24,0,tripinfo_T_SPAR_05 emissions_T_SPAR_05,truck_euro6,0.91,,,8501.63,5545067.65,0.0,1081.42,50187.25,1744292.94,0.0,logistics_truck,3.17949,17.333333333333332,5545.06765,5.54506765,1744.29294,1.74429294,1.7440116653928774,0.5486077767189078,600.0,7.333333333333333,SPAR
T_ROS2_04,3600.0,878811131_0,12.1,0.0,0.0,4724.0,314035730_0,367.96,19.16,1124.0,3639.83,114.0,6,600.0,219.86,0,tripinfo_T_ROS2_04 emissions_T_ROS2_04,truck_euro6,0.99,,,10744.84,7019475.19,0.0,1367.72,63623.15,2208096.32,0.0,logistics_truck,3.63983,18.733333333333334,7019.47519,7.0194751900000005,2208.0963199999997,2.2080963199999997,1.9285173181165056,0.6066482006027754,600.0,8.733333333333333,Roswell2
T_ROS34_05,4000.0,878811131_0,12.1,0.0,0.0,5080.0,314035730_0,367.96,20.81,1080.0,3304.78,84.0,11,603.0,221.04,0,tripinfo_T_ROS34_05 emissions_T_ROS34_05,truck_euro6,1.08,,,10001.96,6614192.09,0.0,1266.88,59568.07,2080612.26,0.0,logistics_truck,3.30478,18.0,6614.19209,6.6141920899999995,2080.61226,2.08061226,2.0014016333916325,0.6295766314247847,600.0,8.0,Roswell3&4
T_TGW_05,4006.0,314035730_0,12.1,0.0,6.0,5254.0,878811131_0,176.35,13.66,1248.0,4407.31,137.0,7,600.0,264.66,0,tripinfo_T_TGW_05 emissions_T_TGW_05,truck_euro6,1.01,,,13117.28,8588717.03,0.0,1669.37,77846.56,2701731.54,0.0,logistics_truck,4.407310000000001,20.8,8588.71703,8.58871703,2701.73154,2.70173154,1.948743571475571,0.6130114605053876,600.0,10.8,TGW
T_UCS_05,4000.0,314035730_0,12.1,0.0,0.0,5256.0,878811131_0,176.35,14.83,1256.0,4483.77,163.0,8,600.0,309.28,0,tripinfo_T_UCS_05 emissions_T_UCS_05,truck_euro6,1.08,,,13712.81,9024934.61,0.0,1741.71,81593.99,2838954.46,0.0,logistics_truck,4.483770000000001,20.933333333333334,9024.93461,9.024934609999999,2838.95446,2.83895446,2.0128005250046273,0.6331623745196564,600.0,10.933333333333334,UCS
T_SPAR_06,4320.0,314035730_0,12.1,0.0,0.0,5442.0,878811131_0,176.35,14.03,1122.0,4099.13,66.0,4,606.0,205.49,0,tripinfo_T_SPAR_06 emissions_T_SPAR_06,truck_euro6,1.04,,,10829.07,7363698.42,0.0,1351.45,65024.5,2316386.7,0.0,logistics_truck,4.09913,18.7,7363.69842,7.3636984199999995,2316.3867,2.3163867000000002,1.7964051932971143,0.5650922756780098,600.0,8.7,SPAR
T_ROS2_05,4500.0,314035730_0,12.1,0.0,0.0,5614.0,878811131_0,176.35,13.77,1114.0,3972.79,48.0,6,600.0,176.55,0,tripinfo_T_ROS2_05 emissions_T_ROS2_05,truck_euro6,0.99,,,10727.04,7143482.17,0.0,1351.16,63812.27,2247106.09,0.0,logistics_truck,3.97279,18.566666666666666,7143.48217,7.1434821699999995,2247.1060899999998,2.24710609,1.7981021322546622,0.5656241809911926,600.0,8.566666666666666,Roswell2
T_ROS34_06,4800.0,314035730_0,12.1,0.0,0.0,5811.0,878811131_0,176.35,13.04,1011.0,3657.44,22.0,1,600.0,87.91,0,tripinfo_T_ROS34_06 emissions_T_ROS34_06,truck_euro6,0.97,,,8200.23,5488673.49,0.0,1025.57,48497.61,1726549.59,0.0,logistics_truck,3.6574400000000002,16.85,5488.67349,5.48867349,1726.54959,1.72654959,1.5006872265847149,0.47206504823045625,600.0,6.85,Roswell3&4
T_TGW_06,4807.0,878811131_0,12.1,0.0,7.0,5976.0,314035730_0,367.96,18.34,1169.0,4025.57,91.0,5,600.0,196.2,0,tripinfo_T_TGW_06 emissions_T_TGW_06,truck_euro6,0.95,,,10983.33,7110112.84,0.0,1401.33,64609.55,2236600.72,0.0,logistics_truck,4.02557,19.483333333333334,7110.11284,7.11011284,2236.6007200000004,2.23660072,1.7662375365476193,0.55559851648338,600.0,9.483333333333333,TGW
T_UCS_06,4800.0,878811131_0,12.1,0.0,0.0,6033.0,314035730_0,367.96,18.19,1233.0,4112.04,147.0,5,600.0,273.12,0,tripinfo_T_UCS_06 emissions_T_UCS_06,truck_euro6,0.95,,,12372.27,8020434.97,0.0,1583.16,73260.2,2522967.97,0.0,logistics_truck,4.11204,20.55,8020.434969999999,8.02043497,2522.96797,2.5229679700000003,1.9504759121992976,0.6135562810673048,600.0,10.55,UCS
