vehicle_group,n_vehicles,mean_travel_time_min,mean_driving_time_min,mean_distance_km,total_CO2_kg,mean_CO2_kg,mean_CO2_kg_per_km
background_car,2831,2.8772695160720594,2.8772695160720594,1.2224192617449663,1166.76773229,0.4121397853373366,0.37068508541539236
background_truck,458,2.7663755458515285,2.7663755458515285,1.233748209606987,1080.18243556,2.358476933537118,2.033596583954491
logistics_truck,29,18.998850574712645,8.998850574712643,3.8967800000000006,209.16483295999998,7.212580446896551,1.8464116776357444
