hub,n_vehicles,mean_travel_time_min,mean_driving_time_min,mean_distance_km,total_CO2_kg,mean_CO2_kg,mean_CO2_kg_per_km
Roswell2,5,18.69,8.690000000000001,3.839606,35.1198794,7.02397588,1.8326856950904216
Roswell3&4,6,17.266666666666666,7.266666666666667,3.4811099999999997,36.333255890000004,6.055542648333334,1.7484366345913747
SPAR,6,18.48611111111111,8.486111111111112,3.6393099999999996,40.35009531,6.725015885,1.8429448465106584
TGW,6,20.377777777777776,10.377777777777778,4.21644,48.41895148,8.069825246666666,1.912174952035711
UCS,6,20.122222222222224,10.122222222222222,4.297905000000001,48.942650879999995,8.15710848,1.8935285961930022
