vehicle_group,n_vehicles,mean_travel_time_min,mean_driving_time_min,mean_distance_km,total_CO2_kg,mean_CO2_kg,mean_CO2_kg_per_km,total_electricity_kWh,mean_electricity_kWh,mean_electricity_kWh_per_km
background_car,3629,2.563346192706898,2.563346192706898,1.253181496279967,1335.97382187,0.3681382810333425,0.328110820792204,0.0,0.0,0.0
background_truck,600,2.5127222222222225,2.5127222222222225,1.2822499166666668,1402.0540705,2.336756784166667,1.913751391048027,0.0,0.0,0.0
logistics_truck,40,17.506666666666668,7.506666666666666,3.8741892499999997,0.0,0.0,0.0,176.24687,4.40617175,1.1419262212757864
