hub,n_vehicles,mean_travel_time_min,mean_driving_time_min,mean_distance_km,total_CO2_kg,mean_CO2_kg,mean_CO2_kg_per_km,total_electricity_kWh,mean_electricity_kWh,mean_electricity_kWh_per_km
Roswell2,7,17.21904761904762,7.219047619047619,3.7585114285714285,0.0,0.0,0.0,30.190549999999998,4.312935714285714,1.1484615802586668
Roswell3&4,8,16.972916666666666,6.972916666666666,3.65878,0.0,0.0,0.0,34.23866,4.2798325,1.1754656012992444
SPAR,9,16.633333333333333,6.633333333333333,3.4369188888888886,0.0,0.0,0.0,36.31326,4.034806666666666,1.1746278313345222
TGW,8,18.48125,8.48125,4.23458,0.0,0.0,0.0,36.61452,4.576815,1.0823393062952884
UCS,8,18.3,8.3,4.322355,0.0,0.0,0.0,38.88988,4.861235,1.1254660058067285
