hub,n_vehicles,mean_travel_time_min,mean_driving_time_min,mean_distance_km,total_CO2_kg,mean_CO2_kg,mean_CO2_kg_per_km
Roswell2,7,17.21904761904762,7.219047619047619,3.7585114285714285,19.306768140000003,2.7581097342857146,0.7307852773702412
Roswell3&4,8,16.972916666666666,6.972916666666666,3.65878,26.22025707,3.27753213375,0.8244036516762081
SPAR,9,16.633333333333333,6.633333333333333,3.4369188888888886,29.72797028,3.303107808888889,0.9656899482540798
TGW,8,18.48125,8.48125,4.23458,30.683522670000002,3.8354403337500003,0.8657702967095476
UCS,8,18.3,8.3,4.322355,28.703137990000002,3.5878922487500002,0.8672062090614653
